Wavelength (nm),microAmps (mA)
656.0167,0.40177
656.0168,0.40177
656.0169,0.4016
656.017,0.40169
656.0171,0.40173
656.0172,0.4016
656.0173,0.4016
656.0174,0.40177
656.0175,0.40166
656.0176,0.40166
656.0177,0.40154
656.0178,0.4015
656.0179,0.40173
656.018,0.40152
656.0181,0.40185
656.0182,0.40179
656.0183,0.40177
656.0184,0.40187
656.0185,0.40166
656.0186,0.40164
656.0187,0.40173
656.0188,0.40154
656.0189,0.4015
656.019,0.40154
656.0191,0.40164
656.0192,0.40173
656.0193,0.40175
656.0194,0.40183
656.0195,0.40152
656.0196,0.40166
656.0197,0.40185
656.0198,0.40179
656.0199,0.40148
656.02,0.40162
656.0201,0.40162
656.0202,0.40158
656.0203,0.40169
656.0204,0.40152
656.0205,0.40162
656.0206,0.40146
656.0207,0.40148
656.0208,0.40166
656.0209,0.40166
656.021,0.40146
656.0211,0.4016
656.0212,0.40162
656.0213,0.40162
656.0214,0.4014
656.0215,0.40158
656.0216,0.4015
656.0217,0.40162
656.0218,0.4016
656.0219,0.40158
656.022,0.40164
656.0221,0.40158
656.0222,0.40152
656.0223,0.40171
656.0224,0.40152
656.0225,0.40164
656.0226,0.40166
656.0227,0.40166
656.0228,0.40171
656.0229,0.40171
656.023,0.40162
656.0231,0.40171
656.0232,0.40158
656.0233,0.40162
656.0234,0.40175
656.0235,0.40177
656.0236,0.40146
656.0237,0.40152
656.0238,0.40177
656.0239,0.40144
656.024,0.40177
656.0241,0.40169
656.0242,0.40158
656.0243,0.40175
656.0244,0.40156
656.0245,0.4016
656.0246,0.40158
656.0247,0.40181
656.0248,0.40169
656.0249,0.40171
656.025,0.40175
656.0251,0.40169
656.0252,0.40171
656.0253,0.4015
656.0254,0.40187
656.0255,0.4016
656.0256,0.40166
656.0257,0.40162
656.0258,0.40177
656.0259,0.40169
656.026,0.40144
656.0261,0.40156
656.0262,0.40156
656.0263,0.40166
656.0264,0.40169
656.0265,0.40154
656.0266,0.4016
656.0267,0.40152
656.0268,0.40177
656.0269,0.40171
656.027,0.40162
656.0271,0.40169
656.0272,0.40169
656.0273,0.40146
656.0274,0.40152
656.0275,0.40158
656.0276,0.40164
656.0277,0.40171
656.0278,0.40164
656.0279,0.40154
656.028,0.40158
656.0281,0.40152
656.0282,0.4016
656.0283,0.40152
656.0284,0.40146
656.0285,0.4016
656.0286,0.40156
656.0287,0.40166
656.0288,0.40158
656.0289,0.40166
656.029,0.40154
656.0291,0.40171
656.0292,0.40171
656.0293,0.40162
656.0294,0.40164
656.0295,0.40166
656.0296,0.40154
656.0297,0.40162
656.0298,0.40173
656.0299,0.40152
656.03,0.40156
656.0301,0.40189
656.0302,0.40166
656.0303,0.40169
656.0304,0.40146
656.0305,0.4015
656.0306,0.40148
656.0307,0.40179
656.0308,0.4016
656.0309,0.40152
656.031,0.40154
656.0311,0.40183
656.0312,0.40162
656.0313,0.40148
656.0314,0.4014
656.0315,0.40154
656.0316,0.40154
656.0317,0.40169
656.0318,0.40158
656.0319,0.40156
656.032,0.40162
656.0321,0.40169
656.0322,0.40158
656.0323,0.4015
656.0324,0.40185
656.0325,0.40164
656.0326,0.40171
656.0327,0.40166
656.0328,0.40166
656.0329,0.40156
656.033,0.40158
656.0331,0.40171
656.0332,0.40162
656.0333,0.40154
656.0334,0.40144
656.0335,0.40156
656.0336,0.40162
656.0337,0.4015
656.0338,0.40158
656.0339,0.4016
656.034,0.40164
656.0341,0.4016
656.0342,0.40158
656.0343,0.40164
656.0344,0.40162
656.0345,0.40158
656.0346,0.40175
656.0347,0.40166
656.0348,0.4015
656.0349,0.40164
656.035,0.40156
656.0351,0.40173
656.0352,0.4016
656.0353,0.40162
656.0354,0.40162
656.0355,0.40158
656.0356,0.40177
656.0357,0.40175
656.0358,0.40173
656.0359,0.40132
656.036,0.40175
656.0361,0.4015
656.0362,0.40152
656.0363,0.40173
656.0364,0.40164
656.0365,0.40179
656.0366,0.40164
656.0367,0.4016
656.0368,0.40173
656.0369,0.4015
656.037,0.40156
656.0371,0.40175
656.0372,0.40173
656.0373,0.40162
656.0374,0.40181
656.0375,0.4016
656.0376,0.40154
656.0377,0.40152
656.0378,0.40162
656.0379,0.40158
656.038,0.40164
656.0381,0.40156
656.0382,0.40171
656.0383,0.40148
656.0384,0.40152
656.0385,0.40154
656.0386,0.40166
656.0387,0.40169
656.0388,0.40154
656.0389,0.40154
656.039,0.40164
656.0391,0.4015
656.0392,0.40166
656.0393,0.40142
656.0394,0.40162
656.0395,0.40162
656.0396,0.40152
656.0397,0.40162
656.0398,0.40173
656.0399,0.40169
656.04,0.40162
656.0401,0.40148
656.0402,0.40148
656.0403,0.40171
656.0404,0.40166
656.0405,0.40162
656.0406,0.40171
656.0407,0.40177
656.0408,0.40169
656.0409,0.40156
656.041,0.40175
656.0411,0.40169
656.0412,0.40158
656.0413,0.40169
656.0414,0.40166
656.0415,0.40162
656.0416,0.4016
656.0417,0.40154
656.0418,0.40164
656.0419,0.4014
656.042,0.4016
656.0421,0.40146
656.0422,0.4015
