wavelength (nm),microAmps (mA)
433.8218,0.4011
433.8219,0.40106
433.822,0.401
433.8221,0.40109
433.8222,0.4011
433.8223,0.40101
433.8224,0.40104
433.8225,0.40115
433.8226,0.40101
433.8227,0.40105
433.8228,0.40105
433.8229,0.40102
433.823,0.40108
433.8231,0.40104
433.8232,0.40118
433.8233,0.40107
433.8234,0.40108
433.8235,0.40099
433.8236,0.40104
433.8237,0.40107
433.8238,0.40112
433.8239,0.40109
433.824,0.40103
433.8241,0.40106
433.8242,0.40108
433.8243,0.40108
433.8244,0.40109
433.8245,0.40107
433.8246,0.40105
433.8247,0.40102
433.8248,0.40105
433.8249,0.40102
433.825,0.40104
433.8251,0.40107
433.8252,0.40102
433.8253,0.40102
433.8254,0.40107
433.8255,0.40111
433.8256,0.40104
433.8257,0.40107
433.8258,0.40102
433.8259,0.40105
433.826,0.40107
433.8261,0.4011
433.8262,0.40109
433.8263,0.40102
433.8264,0.40102
433.8265,0.40103
433.8266,0.401
433.8267,0.40109
433.8268,0.40104
433.8269,0.40105
433.827,0.40102
433.8271,0.40097
433.8272,0.401
433.8273,0.40103
433.8274,0.401
433.8275,0.40106
433.8276,0.40101
433.8277,0.40105
433.8278,0.40103
433.8279,0.40102
433.828,0.40103
433.8281,0.40103
433.8282,0.40101
433.8283,0.40104
433.8284,0.40106
433.8285,0.4011
433.8286,0.40108
433.8287,0.40104
433.8288,0.40102
433.8289,0.40106
433.829,0.40111
433.8291,0.40101
433.8292,0.40104
433.8293,0.40108
433.8294,0.40106
433.8295,0.40105
433.8296,0.40109
433.8297,0.40099
433.8298,0.40104
433.8299,0.401
433.83,0.40106
433.8301,0.40102
433.8302,0.40103
433.8303,0.40108
433.8304,0.40102
433.8305,0.40102
433.8306,0.40106
433.8307,0.401
433.8308,0.40105
433.8309,0.40108
433.831,0.40097
433.8311,0.40105
433.8312,0.401
433.8313,0.40102
433.8314,0.40108
433.8315,0.40105
433.8316,0.40105
433.8317,0.40103
433.8318,0.40097
433.8319,0.40104
433.832,0.40098
433.8321,0.401
433.8322,0.40104
433.8323,0.40101
433.8324,0.401
433.8325,0.40109
433.8326,0.40102
433.8327,0.40104
433.8328,0.40097
433.8329,0.40103
433.833,0.40108
433.8331,0.40102
433.8332,0.40109
433.8333,0.40103
433.8334,0.40105
433.8335,0.40104
433.8336,0.40104
433.8337,0.40101
433.8338,0.401
433.8339,0.40101
433.834,0.40103
433.8341,0.40106
433.8342,0.40107
433.8343,0.40106
433.8344,0.40101
433.8345,0.40102
433.8346,0.40106
433.8347,0.40099
433.8348,0.40109
433.8349,0.40109
433.835,0.40099
433.8351,0.40098
433.8352,0.40107
433.8353,0.40101
433.8354,0.40101
433.8355,0.40105
433.8356,0.401
433.8357,0.401
433.8358,0.401
433.8359,0.40102
433.836,0.40108
433.8361,0.40104
433.8362,0.40111
433.8363,0.40107
433.8364,0.40102
433.8365,0.40103
433.8366,0.40102
433.8367,0.40104
433.8368,0.40103
433.8369,0.40103
433.837,0.40105
433.8371,0.40102
433.8372,0.40101
433.8373,0.40105
433.8374,0.40104
433.8375,0.40097
433.8376,0.40109
433.8377,0.40102
433.8378,0.40111
433.8379,0.40102
433.838,0.40105
433.8381,0.40103
433.8382,0.40097
433.8383,0.40102
433.8384,0.40104
433.8385,0.40099
433.8386,0.40109
433.8387,0.40105
433.8388,0.40102
433.8389,0.40109
433.839,0.40102
433.8391,0.40101
433.8392,0.40102
