Wavelength (nm),microAmps (mA)
485.9588,0.40149
485.9589,0.40164
485.959,0.40167
485.9591,0.4017
485.9592,0.40151
485.9593,0.4015
485.9594,0.40153
485.9595,0.4015
485.9596,0.40144
485.9597,0.40155
485.9598,0.40182
485.9599,0.40145
485.96,0.40169
485.9601,0.40151
485.9602,0.40151
485.9603,0.40176
485.9604,0.40154
485.9605,0.40161
485.9606,0.40161
485.9607,0.40145
485.9608,0.40143
485.9609,0.40143
485.961,0.40149
485.9611,0.40164
485.9612,0.40149
485.9613,0.40159
485.9614,0.40158
485.9615,0.40155
485.9616,0.40164
485.9617,0.40161
485.9618,0.40149
485.9619,0.40142
485.962,0.40154
485.9621,0.40158
485.9622,0.40158
485.9623,0.40149
485.9624,0.40142
485.9625,0.40153
485.9626,0.40158
485.9627,0.40153
485.9628,0.40151
485.9629,0.40169
485.963,0.40167
485.9631,0.40151
485.9632,0.40171
485.9633,0.40155
485.9634,0.40154
485.9635,0.4016
485.9636,0.40151
485.9637,0.40154
485.9638,0.40144
485.9639,0.40156
485.964,0.40154
485.9641,0.40148
485.9642,0.40175
485.9643,0.40142
485.9644,0.40154
485.9645,0.40148
485.9646,0.40159
485.9647,0.4015
485.9648,0.40176
485.9649,0.4015
485.965,0.40162
485.9651,0.40154
485.9652,0.40165
485.9653,0.40165
485.9654,0.40166
485.9655,0.40154
485.9656,0.40159
485.9657,0.4015
485.9658,0.40147
485.9659,0.40142
485.966,0.4015
485.9661,0.40158
485.9662,0.40144
485.9663,0.40171
485.9664,0.4015
485.9665,0.40162
485.9666,0.4017
485.9667,0.40154
485.9668,0.40173
485.9669,0.40173
485.967,0.40154
485.9671,0.40179
485.9672,0.4016
485.9673,0.40159
485.9674,0.40153
485.9675,0.40147
485.9676,0.40139
485.9677,0.40154
485.9678,0.4015
485.9679,0.40156
485.968,0.40169
485.9681,0.40149
485.9682,0.40154
485.9683,0.40156
485.9684,0.4017
485.9685,0.40143
485.9686,0.40138
485.9687,0.40145
485.9688,0.40173
485.9689,0.40162
485.969,0.40154
485.9691,0.40156
485.9692,0.40148
485.9693,0.40154
485.9694,0.40172
485.9695,0.40159
485.9696,0.40159
485.9697,0.40154
485.9698,0.40155
485.9699,0.40144
485.97,0.40155
485.9701,0.40148
485.9702,0.4016
485.9703,0.40155
485.9704,0.40156
485.9705,0.4015
485.9706,0.40169
485.9707,0.40151
485.9708,0.4015
485.9709,0.40153
485.971,0.40176
485.9711,0.4017
485.9712,0.40156
485.9713,0.40154
485.9714,0.40159
485.9715,0.40136
485.9716,0.40171
485.9717,0.40158
485.9718,0.40166
485.9719,0.40151
485.972,0.40158
485.9721,0.40158
485.9722,0.40153
485.9723,0.40169
485.9724,0.40161
485.9725,0.40161
485.9726,0.40144
485.9727,0.40161
485.9728,0.40198
485.9729,0.40161
485.973,0.40144
485.9731,0.40169
485.9732,0.40169
485.9733,0.40154
485.9734,0.40144
485.9735,0.40154
485.9736,0.40167
485.9737,0.4016
485.9738,0.40158
485.9739,0.40159
485.974,0.40164
485.9741,0.40156
485.9742,0.40161
485.9743,0.40154
485.9744,0.40184
485.9745,0.40155
485.9746,0.40159
485.9747,0.40153
485.9748,0.40189
485.9749,0.4015
485.975,0.40165
485.9751,0.40159
485.9752,0.4015
485.9753,0.40165
485.9754,0.40154
485.9755,0.40171
485.9756,0.40155
485.9757,0.40167
485.9758,0.40169
485.9759,0.40164
485.976,0.40156
485.9761,0.40155
485.9762,0.40155
485.9763,0.40164
485.9764,0.40154
485.9765,0.40151
485.9766,0.40164
485.9767,0.40186
485.9768,0.40153
485.9769,0.40164
485.977,0.40166
485.9771,0.40161
485.9772,0.40148
485.9773,0.40165
485.9774,0.40151
485.9775,0.40155
485.9776,0.40148
485.9777,0.40162
485.9778,0.40149
485.9779,0.4017
485.978,0.40169
485.9781,0.40161
485.9782,0.40138
485.9783,0.40166
485.9784,0.40156
485.9785,0.40153
485.9786,0.40156
485.9787,0.40164
485.9788,0.40182
485.9789,0.40164
485.979,0.4015
485.9791,0.40155
485.9792,0.40159
485.9793,0.40167
485.9794,0.40165
485.9795,0.40181
485.9796,0.40167
485.9797,0.40177
485.9798,0.4014
485.9799,0.40173
485.98,0.4016
485.9801,0.40162
485.9802,0.40187
485.9803,0.40155
485.9804,0.40164
485.9805,0.4017
485.9806,0.40156
485.9807,0.40187
485.9808,0.40153
485.9809,0.40166
485.981,0.40164
485.9811,0.40169
485.9812,0.40161
485.9813,0.40173
485.9814,0.40151
485.9815,0.40144
485.9816,0.40175
485.9817,0.40169
485.9818,0.40158
485.9819,0.4017
485.982,0.40192
485.9821,0.40165
485.9822,0.4016
485.9823,0.40173
485.9824,0.40182
485.9825,0.40176
485.9826,0.40164
485.9827,0.40165
485.9828,0.40176
485.9829,0.40186
485.983,0.40159
485.9831,0.40156
485.9832,0.40164
485.9833,0.40153
485.9834,0.40165
485.9835,0.40167
485.9836,0.40154
485.9837,0.40184
485.9838,0.40151
485.9839,0.40158
485.984,0.40159
485.9841,0.40154
485.9842,0.40173
485.9843,0.40167
485.9844,0.40189
485.9845,0.4015
485.9846,0.4016
485.9847,0.40162
485.9848,0.40177
485.9849,0.40176
485.985,0.4017
485.9851,0.40177
485.9852,0.40175
485.9853,0.40188
485.9854,0.40151
485.9855,0.40182
485.9856,0.40162
485.9857,0.40192
485.9858,0.40158
485.9859,0.40187
485.986,0.40205
485.9861,0.40176
485.9862,0.40175
485.9863,0.40183
485.9864,0.40193
485.9865,0.40177
485.9866,0.40182
485.9867,0.40179
485.9868,0.40177
485.9869,0.40164
485.987,0.40158
485.9871,0.40182
