Time(ms),Angle(rad),Volume,Pressure(kPa),Temperature 1(C),Temperature 2(C)
829.0,1.9634954084936207,32.57452300711315,80.98876953125,194.75,46.0
834.0,1.4726215563702156,35.255838854787456,76.630859375,194.75,46.0
842.0,1.1182719943686323,37.453058182876575,71.015625,194.75,46.0
850.0,0.5583690067903734,40.43868160721903,67.75634765625,194.75,46.0
858.0,0.01227184630308513,41.62543702793545,66.70654296875,194.75,46.0
866.0,5.749359992995383,40.53666738441701,68.037109375,194.75,46.0
871.0,5.267690025599292,38.07721969240336,70.68603515625,194.75,46.0
878.0,4.922544348325022,35.94466252661313,76.923828125,194.75,46.0
883.0,4.431670496201617,33.120437669401554,83.02734375,194.75,46.0
890.0,4.0819228765636915,31.574390294822443,91.12060546875,194.75,46.0
895.0,3.591049024440286,30.233804053370488,95.29541015625,194.75,46.0
902.0,3.2443693663781312,29.86526278665169,96.3330078125,194.75,46.0
908.0,2.7550294950426117,30.132145013584044,93.70849609375,194.75,46.0
915.0,2.409883817768342,30.884837267473547,87.2021484375,194.75,46.0
920.0,1.915942004069166,32.800782309667895,82.13623046875,194.75,46.0
